package,version,declared_license,scope
@alloc/quick-lru,5.2.0,MIT,development
@babel/code-frame,7.29.0,MIT,development
@babel/compat-data,7.29.3,MIT,development
@babel/core,7.29.0,MIT,development
@babel/generator,7.29.1,MIT,development
@babel/helper-compilation-targets,7.28.6,MIT,development
@babel/helper-globals,7.28.0,MIT,development
@babel/helper-module-imports,7.28.6,MIT,development
@babel/helper-module-transforms,7.28.6,MIT,development
@babel/helper-string-parser,7.27.1,MIT,development
@babel/helper-validator-identifier,7.28.5,MIT,development
@babel/helper-validator-option,7.27.1,MIT,development
@babel/helpers,7.29.2,MIT,development
@babel/parser,7.29.3,MIT,development
@babel/runtime,7.29.7,MIT,runtime
@babel/template,7.28.6,MIT,development
@babel/traverse,7.29.0,MIT,development
@babel/types,7.29.0,MIT,development
@base-ui/react,1.7.0,MIT,runtime
@base-ui/utils,0.3.2,MIT,runtime
@cloudflare/kv-asset-handler,0.5.0,MIT OR Apache-2.0,development
@cloudflare/unenv-preset,2.16.1,MIT OR Apache-2.0,development
@cloudflare/vite-plugin,1.37.1,MIT,development
@cloudflare/workerd-darwin-arm64,1.20260515.1,Apache-2.0,development
@cloudflare/workers-types,4.20260515.1,MIT OR Apache-2.0,runtime
@cspotcode/source-map-support,0.8.1,MIT,development
@date-fns/tz,1.5.0,MIT,runtime
@drizzle-team/brocli,0.10.2,Apache-2.0,development
@emnapi/core,1.10.0,MIT,development
@emnapi/runtime,1.10.0,MIT,development
@emnapi/wasi-threads,1.2.1,MIT,development
@esbuild-kit/core-utils,3.3.2,MIT,development
@esbuild-kit/esm-loader,2.6.5,MIT,development
@esbuild/darwin-arm64,0.18.20,MIT,development
@esbuild/darwin-arm64,0.25.12,MIT,development
@esbuild/darwin-arm64,0.27.3,MIT,development
@esbuild/darwin-arm64,0.28.0,MIT,development
@eslint-community/eslint-utils,4.9.1,MIT,development
@eslint-community/regexpp,4.12.2,MIT,development
@eslint/config-array,0.21.2,Apache-2.0,development
@eslint/config-helpers,0.4.2,Apache-2.0,development
@eslint/core,0.17.0,Apache-2.0,development
@eslint/eslintrc,3.3.5,MIT,development
@eslint/js,9.39.4,MIT,development
@eslint/object-schema,2.1.7,Apache-2.0,development
@eslint/plugin-kit,0.4.1,Apache-2.0,development
@floating-ui/core,1.8.0,MIT,runtime
@floating-ui/dom,1.8.0,MIT,runtime
@floating-ui/react-dom,2.1.9,MIT,runtime
@floating-ui/utils,0.2.12,MIT,runtime
@hookform/resolvers,5.7.1,MIT,runtime
@humanfs/core,0.19.2,Apache-2.0,development
@humanfs/node,0.16.8,Apache-2.0,development
@humanfs/types,0.15.0,Apache-2.0,development
@humanwhocodes/module-importer,1.0.1,Apache-2.0,development
@humanwhocodes/retry,0.4.3,Apache-2.0,development
@img/colour,1.1.0,MIT,runtime
@img/sharp-darwin-arm64,0.35.4,Apache-2.0,runtime
@img/sharp-libvips-darwin-arm64,1.3.3,LGPL-3.0-or-later,runtime
@jridgewell/gen-mapping,0.3.13,MIT,development
@jridgewell/remapping,2.3.5,MIT,development
@jridgewell/resolve-uri,3.1.2,MIT,development
@jridgewell/source-map,0.3.11,MIT,development
@jridgewell/sourcemap-codec,1.5.5,MIT,development
@jridgewell/trace-mapping,0.3.31,MIT,development
@jridgewell/trace-mapping,0.3.9,MIT,development
@next/env,16.3.4,MIT,runtime
@next/eslint-plugin-next,16.3.4,MIT,development
@next/swc-darwin-arm64,16.3.4,MIT,runtime
@nodelib/fs.scandir,2.1.5,MIT,development
@nodelib/fs.stat,2.0.5,MIT,development
@nodelib/fs.walk,1.2.8,MIT,development
@nolyfill/is-core-module,1.0.39,MIT,development
@oxc-project/types,0.130.0,MIT,development
@poppinss/colors,4.1.6,MIT,development
@poppinss/dumper,0.6.5,MIT,development
@poppinss/exception,1.2.3,MIT,development
@radix-ui/number,1.1.3,MIT,runtime
@radix-ui/primitive,1.1.7,MIT,runtime
@radix-ui/react-accessible-icon,1.1.15,MIT,runtime
@radix-ui/react-accordion,1.2.20,MIT,runtime
@radix-ui/react-alert-dialog,1.1.23,MIT,runtime
@radix-ui/react-arrow,1.1.15,MIT,runtime
@radix-ui/react-aspect-ratio,1.1.15,MIT,runtime
@radix-ui/react-avatar,1.2.6,MIT,runtime
@radix-ui/react-checkbox,1.3.11,MIT,runtime
@radix-ui/react-collapsible,1.1.20,MIT,runtime
@radix-ui/react-collection,1.1.15,MIT,runtime
@radix-ui/react-compose-refs,1.1.2,MIT,runtime
@radix-ui/react-compose-refs,1.1.5,MIT,runtime
@radix-ui/react-compose-refs,1.1.5,MIT,runtime
@radix-ui/react-compose-refs,1.1.5,MIT,runtime
@radix-ui/react-compose-refs,1.1.5,MIT,runtime
@radix-ui/react-compose-refs,1.1.5,MIT,runtime
@radix-ui/react-compose-refs,1.1.5,MIT,runtime
@radix-ui/react-compose-refs,1.1.5,MIT,runtime
@radix-ui/react-compose-refs,1.1.5,MIT,runtime
@radix-ui/react-compose-refs,1.1.5,MIT,runtime
@radix-ui/react-compose-refs,1.1.5,MIT,runtime
@radix-ui/react-compose-refs,1.1.5,MIT,runtime
@radix-ui/react-compose-refs,1.1.5,MIT,runtime
@radix-ui/react-compose-refs,1.1.5,MIT,runtime
@radix-ui/react-compose-refs,1.1.5,MIT,runtime
@radix-ui/react-compose-refs,1.1.5,MIT,runtime
@radix-ui/react-compose-refs,1.1.5,MIT,runtime
@radix-ui/react-compose-refs,1.1.5,MIT,runtime
@radix-ui/react-compose-refs,1.1.5,MIT,runtime
@radix-ui/react-compose-refs,1.1.5,MIT,runtime
@radix-ui/react-compose-refs,1.1.5,MIT,runtime
@radix-ui/react-compose-refs,1.1.5,MIT,runtime
@radix-ui/react-compose-refs,1.1.5,MIT,runtime
@radix-ui/react-compose-refs,1.1.5,MIT,runtime
@radix-ui/react-compose-refs,1.1.5,MIT,runtime
@radix-ui/react-compose-refs,1.1.5,MIT,runtime
@radix-ui/react-compose-refs,1.1.5,MIT,runtime
@radix-ui/react-compose-refs,1.1.5,MIT,runtime
@radix-ui/react-compose-refs,1.1.5,MIT,runtime
@radix-ui/react-context,1.2.2,MIT,runtime
@radix-ui/react-context-menu,2.3.7,MIT,runtime
@radix-ui/react-dialog,1.1.23,MIT,runtime
@radix-ui/react-direction,1.1.4,MIT,runtime
@radix-ui/react-dismissable-layer,1.1.19,MIT,runtime
@radix-ui/react-dropdown-menu,2.1.24,MIT,runtime
@radix-ui/react-focus-guards,1.1.6,MIT,runtime
@radix-ui/react-focus-scope,1.1.16,MIT,runtime
@radix-ui/react-form,0.1.16,MIT,runtime
@radix-ui/react-hover-card,1.1.23,MIT,runtime
@radix-ui/react-id,1.1.4,MIT,runtime
@radix-ui/react-label,2.1.15,MIT,runtime
@radix-ui/react-menu,2.1.24,MIT,runtime
@radix-ui/react-menubar,1.1.24,MIT,runtime
@radix-ui/react-navigation-menu,1.2.22,MIT,runtime
@radix-ui/react-one-time-password-field,0.1.16,MIT,runtime
@radix-ui/react-password-toggle-field,0.1.11,MIT,runtime
@radix-ui/react-popover,1.1.23,MIT,runtime
@radix-ui/react-popper,1.3.7,MIT,runtime
@radix-ui/react-portal,1.1.17,MIT,runtime
@radix-ui/react-presence,1.1.10,MIT,runtime
@radix-ui/react-primitive,2.1.10,MIT,runtime
@radix-ui/react-progress,1.1.16,MIT,runtime
@radix-ui/react-radio-group,1.4.7,MIT,runtime
@radix-ui/react-roving-focus,1.1.19,MIT,runtime
@radix-ui/react-scroll-area,1.2.18,MIT,runtime
@radix-ui/react-select,2.3.7,MIT,runtime
@radix-ui/react-separator,1.1.15,MIT,runtime
@radix-ui/react-slider,1.4.7,MIT,runtime
@radix-ui/react-slot,1.3.3,MIT,runtime
@radix-ui/react-slot,1.3.3,MIT,runtime
@radix-ui/react-slot,1.3.3,MIT,runtime
@radix-ui/react-slot,1.3.3,MIT,runtime
@radix-ui/react-slot,1.3.3,MIT,runtime
@radix-ui/react-slot,1.3.3,MIT,runtime
@radix-ui/react-slot,1.3.3,MIT,runtime
@radix-ui/react-slot,1.3.3,MIT,runtime
@radix-ui/react-switch,1.3.7,MIT,runtime
@radix-ui/react-tabs,1.1.21,MIT,runtime
@radix-ui/react-toast,1.2.23,MIT,runtime
@radix-ui/react-toggle,1.1.18,MIT,runtime
@radix-ui/react-toggle-group,1.1.19,MIT,runtime
@radix-ui/react-toolbar,1.1.19,MIT,runtime
@radix-ui/react-tooltip,1.2.16,MIT,runtime
@radix-ui/react-use-callback-ref,1.1.4,MIT,runtime
@radix-ui/react-use-controllable-state,1.2.6,MIT,runtime
@radix-ui/react-use-effect-event,0.0.5,MIT,runtime
@radix-ui/react-use-escape-keydown,1.1.5,MIT,runtime
@radix-ui/react-use-is-hydrated,0.1.3,MIT,runtime
@radix-ui/react-use-layout-effect,1.1.4,MIT,runtime
@radix-ui/react-use-previous,1.1.4,MIT,runtime
@radix-ui/react-use-rect,1.1.4,MIT,runtime
@radix-ui/react-use-size,1.1.4,MIT,runtime
@radix-ui/react-visually-hidden,1.2.11,MIT,runtime
@radix-ui/rect,1.1.3,MIT,runtime
@reduxjs/toolkit,2.12.0,MIT,runtime
@resvg/resvg-wasm,2.4.0,MPL-2.0,development
@rolldown/binding-darwin-arm64,1.0.1,MIT,development
@rolldown/pluginutils,1.0.0-rc.18,MIT,development
@rolldown/pluginutils,1.0.1,MIT,development
@rtsao/scc,1.1.0,MIT,development
@shadcn/react,0.3.0,MIT,runtime
@shuding/opentype.js,1.4.0-beta.0,MIT,development
@sindresorhus/is,7.2.0,MIT,development
@speed-highlight/core,1.2.15,CC0-1.0,development
@standard-schema/spec,1.1.0,MIT,runtime
@standard-schema/utils,0.3.0,MIT,runtime
@swc/helpers,0.5.23,Apache-2.0,runtime
@tailwindcss/node,4.2.1,MIT,development
@tailwindcss/oxide,4.2.1,MIT,development
@tailwindcss/oxide-darwin-arm64,4.2.1,MIT,development
@tailwindcss/postcss,4.2.1,MIT,development
@tybys/wasm-util,0.10.2,MIT,development
@types/d3-array,3.2.2,MIT,runtime
@types/d3-color,3.1.3,MIT,runtime
@types/d3-ease,3.0.2,MIT,runtime
@types/d3-interpolate,3.0.4,MIT,runtime
@types/d3-path,3.1.1,MIT,runtime
@types/d3-scale,4.0.9,MIT,runtime
@types/d3-shape,3.1.8,MIT,runtime
@types/d3-time,3.0.4,MIT,runtime
@types/d3-timer,3.0.2,MIT,runtime
@types/eslint,9.6.1,MIT,development
@types/eslint-scope,3.7.7,MIT,development
@types/estree,1.0.9,MIT,development
@types/json-schema,7.0.15,MIT,development
@types/json5,0.0.29,MIT,development
@types/node,22.19.19,MIT,development
@types/react,19.2.14,MIT,runtime
@types/react-dom,19.2.3,MIT,runtime
@types/use-sync-external-store,0.0.6,MIT,runtime
@typescript-eslint/eslint-plugin,8.59.3,MIT,development
@typescript-eslint/parser,8.59.3,MIT,development
@typescript-eslint/project-service,8.59.3,MIT,development
@typescript-eslint/scope-manager,8.59.3,MIT,development
@typescript-eslint/tsconfig-utils,8.59.3,MIT,development
@typescript-eslint/type-utils,8.59.3,MIT,development
@typescript-eslint/types,8.59.3,MIT,development
@typescript-eslint/typescript-estree,8.59.3,MIT,development
@typescript-eslint/utils,8.59.3,MIT,development
@typescript-eslint/visitor-keys,8.59.3,MIT,development
@unpic/core,1.0.3,MIT,development
@unpic/react,1.0.2,MIT,development
@unrs/resolver-binding-darwin-arm64,1.11.1,MIT,development
@vercel/og,0.8.6,MPL-2.0,development
@vinext/types,1.0.0-beta.2,MIT,development
@vitejs/plugin-react,6.0.2,MIT,development
@vitejs/plugin-rsc,0.5.26,MIT,development
@webassemblyjs/ast,1.14.1,MIT,development
@webassemblyjs/floating-point-hex-parser,1.13.2,MIT,development
@webassemblyjs/helper-api-error,1.13.2,MIT,development
@webassemblyjs/helper-buffer,1.14.1,MIT,development
@webassemblyjs/helper-numbers,1.13.2,MIT,development
@webassemblyjs/helper-wasm-bytecode,1.13.2,MIT,development
@webassemblyjs/helper-wasm-section,1.14.1,MIT,development
@webassemblyjs/ieee754,1.13.2,MIT,development
@webassemblyjs/leb128,1.13.2,Apache-2.0,development
@webassemblyjs/utf8,1.13.2,MIT,development
@webassemblyjs/wasm-edit,1.14.1,MIT,development
@webassemblyjs/wasm-gen,1.14.1,MIT,development
@webassemblyjs/wasm-opt,1.14.1,MIT,development
@webassemblyjs/wasm-parser,1.14.1,MIT,development
@webassemblyjs/wast-printer,1.14.1,MIT,development
@xtuc/ieee754,1.2.0,BSD-3-Clause,development
@xtuc/long,4.2.2,Apache-2.0,development
acorn,8.16.0,MIT,development
acorn-import-phases,1.0.4,MIT,development
acorn-jsx,5.3.2,MIT,development
acorn-loose,8.5.2,MIT,development
ajv,6.15.0,MIT,development
ajv,6.15.0,MIT,development
ajv,8.20.0,MIT,runtime
ajv-formats,2.1.1,MIT,runtime
ajv-keywords,5.1.0,MIT,development
ansi-styles,4.3.0,MIT,development
argparse,2.0.1,Python-2.0,development
aria-hidden,1.2.6,MIT,runtime
